Intent Name,Confidence Level,Description,Detection Signals,Domain,Examples,L1 Category,L2 Intent,L3 Specific Intent,Product Category,Ma Intent,Logic category san pham
Laptop giao sai hoặc thất lạc,Cao,Laptop giao sai hoặc bị mất trên đường,↳ mã đơn | ↳ mất | ↳ giao sai,Dien tu,Laptop mất rồi!,sau_mua_hang,giao_hang_loi,laptop_giao_hang_that_lac,Laptop,INT-11,"Neu co tu khoa laptop, pin laptop, hieu nang hoc tap/tro choi thi gan Laptop"
Lỗi phần mềm laptop,Cao,Vấn đề về phần mềm hệ điều hành laptop,↳ mã đơn | ↳ Windows lỗi,Dien tu,Windows bị lỗi!,sau_mua_hang,chat_luong_loi,laptop_phan_mem_loi,Laptop,INT-12,"Neu co tu khoa laptop, pin laptop, hieu nang hoc tap/tro choi thi gan Laptop"
Lỗi phần cứng laptop,Cao,Vấn đề phần cứng laptop,↳ mã đơn | ↳ pin bị lỗi | ↳ bàn phím hỏng,Dien tu,Bàn phím hỏng!,sau_mua_hang,chat_luong_loi,laptop_phan_cung_loi,Laptop,INT-13,"Neu co tu khoa laptop, pin laptop, hieu nang hoc tap/tro choi thi gan Laptop"
Loại tai nghe,Cao,Hỏi loại tai nghe nên mua,↳ tai nghe | ↳ chụp tai | ↳ trò chơi,Dien tu,Nên mua loại tai nghe nào?,truoc_mua_hang,tai_nghe_loai,tai_nghe_phan_loai,Tai nghe,INT-14,"Neu co tu khoa tai nghe, ANC, bass, pin tai nghe thi gan Tai nghe"
Chất lượng âm thanh tai nghe,Cao,Hỏi chất lượng âm thanh tai nghe,↳ bass | ↳ chống ồn,Dien tu,Có ANC không?,truoc_mua_hang,tai_nghe_am_thanh,tai_nghe_am_thanh_chat_luong,Tai nghe,INT-15,"Neu co tu khoa tai nghe, ANC, bass, pin tai nghe thi gan Tai nghe"
Pin tai nghe,Cao,Hỏi thời lượng pin tai nghe,↳ pin | ↳ giờ,Dien tu,Pin bao lâu?,truoc_mua_hang,tai_nghe_pin,tai_nghe_pin_thoi_luong,Tai nghe,INT-16,"Neu co tu khoa tai nghe, ANC, bass, pin tai nghe thi gan Tai nghe"
Lỗi âm thanh tai nghe,Cao,Vấn đề âm thanh khi sử dụng tai nghe,↳ mã đơn | ↳ lỗi âm,Dien tu,Lỗi âm thanh!,sau_mua_hang,chat_luong_loi,tai_nghe_am_thanh_loi,Tai nghe,INT-17,"Neu co tu khoa tai nghe, ANC, bass, pin tai nghe thi gan Tai nghe"
Pin tai nghe hết nhanh,Cao,Pin tai nghe bị lỗi hoặc xuống nhanh,↳ mã đơn | ↳ pin hết nhanh,Dien tu,Pin chỉ được 1 tiếng!,sau_mua_hang,chat_luong_loi,tai_nghe_pin_loi,Tai nghe,INT-18,"Neu co tu khoa tai nghe, ANC, bass, pin tai nghe thi gan Tai nghe"
Tính năng đồng hồ thông minh,Cao,Hỏi tính năng của đồng hồ thông minh,↳ GPS | ↳ NFC,Dien tu,Có GPS không?,truoc_mua_hang,dong_ho_thong_minh_tinh_nang,dong_ho_thong_minh_kha_nang,Dong ho thong minh,INT-19,"Neu co tu khoa dong ho thong minh, GPS, NFC, Bluetooth dong ho thi gan Dong ho thong minh"
Pin đồng hồ thông minh,Cao,Hỏi thời lượng pin đồng hồ,↳ pin | ↳ ngày,Dien tu,Pin mấy ngày?,truoc_mua_hang,dong_ho_thong_minh_pin,dong_ho_thong_minh_pin_thoi_luong,Dong ho thong minh,INT-20,"Neu co tu khoa dong ho thong minh, GPS, NFC, Bluetooth dong ho thi gan Dong ho thong minh"
Lỗi kết nối đồng hồ thông minh,Cao,Vấn đề kết nối Bluetooth của đồng hồ,↳ mã đơn | ↳ Bluetooth,Dien tu,Bluetooth không ổn!,sau_mua_hang,chat_luong_loi,dong_ho_thong_minh_ket_noi_loi,Dong ho thong minh,INT-21,"Neu co tu khoa dong ho thong minh, GPS, NFC, Bluetooth dong ho thi gan Dong ho thong minh"
Loại máy ảnh,Cao,Hỏi loại máy ảnh nên mua,↳ máy ảnh | ↳ DSLR,Dien tu,Nên mua loại máy ảnh nào?,truoc_mua_hang,may_anh_loai,may_anh_phan_loai,May anh,INT-22,"Neu co tu khoa may anh, DSLR, megapixel, cam bien anh thi gan May anh"
Thông số cảm biến máy ảnh,Cao,Hỏi thông số cảm biến của máy ảnh,↳ megapixel | ↳ toàn khung,Dien tu,Megapixel bao nhiêu?,truoc_mua_hang,may_anh_thong_sos,may_anh_cam_bien_thong_sos,May anh,INT-23,"Neu co tu khoa may anh, DSLR, megapixel, cam bien anh thi gan May anh"
Camera không hoạt động,Cao,Camera không chụp được sau khi nhận,↳ mã đơn | ↳ không chụp,Dien tu,Không chụp được ảnh!,sau_mua_hang,chat_luong_loi,may_anh_khong_hoat_dong,May anh,INT-24,"Neu co tu khoa may anh, DSLR, megapixel, cam bien anh thi gan May anh"
Loại máy chơi game,Cao,Hỏi loại máy chơi game,↳ PS5 | ↳ Xbox,Dien tu,PS5 hay Xbox?,truoc_mua_hang,console_loai,tro_choi_console_lua_chon,Tro choi,INT-25,"Neu co tu khoa PS5, Xbox, may choi game, tro choi, Ryzen/RTX cho tro choi thi gan Tro choi"
Trò chơi thư viện máy chơi game,Cao,Hỏi trò chơi độc quyền trên console,↳ trò chơi | ↳ độc quyền,Dien tu,Có trò chơi gì hay?,truoc_mua_hang,tro_choi_console,tro_choi_game_thu_vien,Tro choi,INT-26,"Neu co tu khoa PS5, Xbox, may choi game, tro choi, Ryzen/RTX cho tro choi thi gan Tro choi"
GPU trò chơi,Cao,Hỏi GPU phù hợp cho trò chơi,↳ RTX | ↳ RX,Dien tu,RTX 4080 hay 4090?,truoc_mua_hang,gpu_truy_van,tro_choi_gpu_lua_chon,Tro choi,INT-27,"Neu co tu khoa PS5, Xbox, may choi game, tro choi, Ryzen/RTX cho tro choi thi gan Tro choi"
CPU trò chơi,Cao,Hỏi CPU phù hợp cho trò chơi,↳ CPU | ↳ Ryzen,Dien tu,Intel hay AMD?,truoc_mua_hang,cpu_truy_van,cpu_hieu_nang,Tro choi,INT-28,"Neu co tu khoa PS5, Xbox, may choi game, tro choi, Ryzen/RTX cho tro choi thi gan Tro choi"
Console hỏng,Cao,Console bị hỏng phần cứng,↳ mã đơn | ↳ không bật,Dien tu,PS5 không bật được!,sau_mua_hang,chat_luong_loi,console_phan_cung_hong,Tro choi,INT-29,"Neu co tu khoa PS5, Xbox, may choi game, tro choi, Ryzen/RTX cho tro choi thi gan Tro choi"
Linh kiện PC hỏng,Cao,Linh kiện PC bị lỗi sau khi nhận,↳ mã đơn | ↳ GPU lỗi,Dien tu,GPU lỗi!,sau_mua_hang,chat_luong_loi,linh_kien_phan_cung_loi,Linh kien PC,INT-30,"Neu co tu khoa GPU, CPU, RAM, mainboard, linh kien PC thi gan Linh kien PC"
Loại công tắc phím bàn phím,Cao,Hỏi loại công tắc phím cơ học,↳ công tắc phím | ↳ Cherry MX,Dien tu,Blue hay Red?,truoc_mua_hang,ban_phim_switch,co_hoc_switch_loai,Phu kien may tinh,INT-31,"Neu co tu khoa chuot, DPI, keyboard cong tac phim, loa, mic, pin du phong thi gan Phu kien may tinh"
DPI chuột,Cao,Hỏi DPI và độ nhạy của chuột,↳ DPI | ↳ tần số quét,Dien tu,DPI bao nhiêu?,truoc_mua_hang,chuot_thong_sos,chuot_dpi_do_nhay,Phu kien may tinh,INT-32,"Neu co tu khoa chuot, DPI, keyboard cong tac phim, loa, mic, pin du phong thi gan Phu kien may tinh"
Công suất loa,Cao,Hỏi công suất watt của loa,↳ watt | ↳ công suất,Dien tu,Bao nhiêu watt?,truoc_mua_hang,loa_cong_suat,loa_watt_cong_suat,Phu kien may tinh,INT-33,"Neu co tu khoa chuot, DPI, keyboard cong tac phim, loa, mic, pin du phong thi gan Phu kien may tinh"
Dung lượng pin dự phòng,Cao,Hỏi dung lượng mAh / Wh của pin dự phòng,↳ mAh | ↳ Wh,Dien tu,Bao nhiêu mAh?,truoc_mua_hang,pin_du_phong_dung_luong,pin_du_phong_mah_wh,Phu kien may tinh,INT-34,"Neu co tu khoa chuot, DPI, keyboard cong tac phim, loa, mic, pin du phong thi gan Phu kien may tinh"
Loại mic,Cao,Hỏi loại microphone phù hợp,↳ mic | ↳ condenser,Dien tu,Mic condenser hay mic dynamic?,truoc_mua_hang,mic_loai,mic_condenser_hoac_dynamic,Phu kien may tinh,INT-35,"Neu co tu khoa chuot, DPI, keyboard cong tac phim, loa, mic, pin du phong thi gan Phu kien may tinh"
Giá điện thoại thông minh,Cao,Hỏi giá điện thoại,↳ giá | ↳ bao nhiêu,Dien tu,Bao nhiêu tiền?,truoc_mua_hang,gia_so_sanh,dien_thoai_gia,Dien thoai,INT-36,"Neu co tu khoa dien thoai, dien thoai thong minh, iPhone, Samsung, 5G thi gan Dien thoai"
Giá laptop,Cao,Hỏi giá laptop và khuyến mãi,↳ giá | ↳ khuyến mãi,Dien tu,Có khuyến mãi không?,truoc_mua_hang,gia_so_sanh,laptop_gia,Laptop,INT-37,"Neu co tu khoa laptop, pin laptop, hieu nang hoc tap/tro choi thi gan Laptop"
Tư vấn da dầu,Cao,Tư vấn sản phẩm cho da dầu,↳ da dầu,My pham,Da dầu dùng sản phẩm gì?,truoc_mua_hang,thiet_bi_tu_van,da_dau_da,Cham soc da,INT-38,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Tư vấn da khô,Cao,Tư vấn sản phẩm cho da khô,↳ da khô,My pham,Da khô dùng sản phẩm gì?,truoc_mua_hang,thiet_bi_tu_van,da_kho_da,Cham soc da,INT-39,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Tư vấn da hỗn hợp,Cao,Tư vấn sản phẩm cho da hỗn hợp,↳ hỗn hợp,My pham,Da hỗn hợp dùng gì?,truoc_mua_hang,thiet_bi_tu_van,da_hon_hop,Cham soc da,INT-40,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Tư vấn da nhạy cảm,Cao,Tư vấn sản phẩm cho da nhạy cảm,↳ nhạy cảm,My pham,Da nhạy cảm dùng gì?,truoc_mua_hang,thiet_bi_tu_van,nhay_cam_da,Cham soc da,INT-41,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Kiểm tra Paraben,Cao,Hỏi sản phẩm có chứa Paraben không,↳ paraben,My pham,Có paraben không?,truoc_mua_hang,di_ung_an_toan,paraben_khong_chua,Cham soc da,INT-42,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Kiểm tra Sulfate,Cao,Hỏi sản phẩm có chứa Sulfate không,↳ sulfate,My pham,Có sulfate không?,truoc_mua_hang,di_ung_an_toan,sulfate_khong_chua,Cham soc da,INT-43,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Kiểm tra hương liệu,Cao,Hỏi sản phẩm có chứa hương liệu không,↳ hương liệu,My pham,Có hương không?,truoc_mua_hang,di_ung_an_toan,huong_lieu_khong_chua,Cham soc da,INT-44,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Ít gây dị ứng,Cao,Hỏi sản phẩm có ít gây dị ứng không,↳ ít gây dị ứng,My pham,Sản phẩm này ít gây dị ứng không?,truoc_mua_hang,di_ung_an_toan,it_gay_di_ung,Cham soc da,INT-45,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Thành phần cụ thể,Cao,Kiểm tra thành phần hoạt chất cụ thể,↳ vitamin C | ↳ retinol,My pham,Có vitamin C không?,truoc_mua_hang,di_ung_an_toan,cu_the_thanh_phan,Cham soc da,INT-46,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
So sánh thương hiệu mỹ phẩm,Cao,So sánh giữa các thương hiệu mỹ phẩm,↳ so với | ↳ hay,My pham,CeraVe hay Cetaphil?,truoc_mua_hang,san_pham_so_sanh,so_voi_tuong_tu_thuong_hieu,Cham soc da,INT-47,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
So sánh kích cỡ sản phẩm,Trung binh,So sánh kích cỡ / dung tích các size khác nhau,↳ 50ml | ↳ 100ml | ↳ thể tích | ↳ ml,My pham,50ml hay 100ml?,truoc_mua_hang,san_pham_so_sanh,so_voi_cung_san_pham_khac_kich_co,Cham soc da,INT-48,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Kiểm tra màu mỹ phẩm,Cao,Kiểm tra biến thể màu còn hàng,↳ màu,My pham,Còn màu nào?,truoc_mua_hang,ton_kho_kiem_tra,mau_bien_the,Cham soc da,INT-49,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Kiểm tra kích cỡ,Cao,Kiểm tra biến thể kích cỡ còn hàng,↳ kích cỡ,My pham,Còn kích cỡ nào?,truoc_mua_hang,ton_kho_kiem_tra,kich_co_bien_the,Cham soc da,INT-50,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Khuyến mãi theo mùa mỹ phẩm,Cao,Hỏi khuyến mãi theo mùa lễ Tết,↳ khuyến mãi nhanh | ↳ tết,My pham,Có khuyến mãi tết không?,truoc_mua_hang,uu_dai_yeu_cau,theo_mua_khuyen_mai,Cham soc da,INT-51,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Ưu đãi khách mới,Cao,Hỏi ưu đãi cho khách lần đầu mua,↳ khách mới,My pham,Khách mới có code không?,truoc_mua_hang,uu_dai_yeu_cau,lan_dau_lan_nguoi_mua,Cham soc da,INT-52,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Combo gói ưu đãi,Cao,Hỏi combo / gói ưu đãi,↳ combo,My pham,Có combo nào?,truoc_mua_hang,uu_dai_yeu_cau,goi_uu_dai,Cham soc da,INT-53,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Giao hàng muộn chăm sóc da,Cao,Đơn chăm sóc da giao quá hạn,↳ mã đơn | ↳ quá hạn,My pham,Quá hạn giao!,sau_mua_hang,giao_hang_loi,cham_soc_da_giao_hang_muon,Cham soc da,INT-54,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Chai vỡ rò rỉ chăm sóc da,Cao,Sản phẩm vỡ chai hoặc rò rỉ khi nhận,↳ chai vỡ | ↳ rò rỉ,My pham,Chai serum vỡ!,sau_mua_hang,hong_vo_san_pham,cham_soc_da_hong_vo,Cham soc da,INT-55,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Hàng hết hạn (sau mua hàng),Cao,Sản phẩm nhận được đã hết hạn sử dụng,↳ hết hạn,My pham,Hết hạn tháng 5!,sau_mua_hang,chat_luong_loi,cham_soc_da_het_han,Cham soc da,INT-56,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da; tinh huong sau khi da nhan don"
Chăm sóc da không hiệu quả,Cao,Sản phẩm chăm sóc da dùng không hiệu quả,↳ không hiệu quả,My pham,Dùng không thấy hiệu quả!,sau_mua_hang,chat_luong_loi,cham_soc_da_chat_luong_loi,Cham soc da,INT-57,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Chăm sóc da gây dị ứng,Cao,Sản phẩm gây kích ứng / dị ứng sau khi dùng,↳ dị ứng | ↳ phồng,My pham,Dị ứng lắm!,sau_mua_hang,chat_luong_loi,cham_soc_da_gay_ra_phan_ung,Cham soc da,INT-58,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Hoàn tiền chăm sóc da,Cao,Yêu cầu hoàn tiền cho đơn chăm sóc da,↳ hoàn tiền,My pham,Hoàn tiền được không?,sau_mua_hang,hoan_tien_yeu_cau,cham_soc_da_hoan_tien,Cham soc da,INT-59,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Đổi trả chăm sóc da,Cao,Yêu cầu đổi trả sản phẩm chăm sóc da,↳ đổi,My pham,Đổi được không?,sau_mua_hang,doi_tra,cham_soc_da_doi,Cham soc da,INT-60,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Giá chăm sóc da,Cao,Hỏi giá sản phẩm chăm sóc da,↳ giá,My pham,Bao nhiêu tiền?,truoc_mua_hang,gia_so_sanh,cham_soc_da_gia,Cham soc da,INT-61,"Neu co tu khoa cham soc da, serum, kem, da dau/kho/nhay cam thi gan Cham soc da"
Loại trang điểm,Cao,Hỏi loại sản phẩm trang điểm,↳ trang điểm | ↳ cushion,My pham,Nên mua loại nào?,truoc_mua_hang,thiet_bi_tu_van,trang_diem_san_pham_loai,Trang diem,INT-62,"Neu co tu khoa trang diem, cushion, tone, tint, son, nen thi gan Trang diem"
Trang điểm màu sắc,Cao,Hỏi màu / tint trang điểm,↳ màu | ↳ tint,My pham,Còn màu nào?,truoc_mua_hang,san_pham_so_sanh,trang_diem_mau_sac_do,Trang diem,INT-63,"Neu co tu khoa trang diem, cushion, tone, tint, son, nen thi gan Trang diem"
Cushion tone biến thể,Cao,Hỏi tone cushion còn biến thể nào,↳ tone,My pham,Tone nào bán chạy?,truoc_mua_hang,ton_kho_kiem_tra,cushion_tong_mau_bien_the,Trang diem,INT-65,"Neu co tu khoa trang diem, cushion, tone, tint, son, nen thi gan Trang diem"
Trang điểm không lên màu,Cao,Trang điểm không lên màu sau khi sử dụng,↳ không lên màu,My pham,Trang điểm không lên!,sau_mua_hang,chat_luong_loi,trang_diem_khong_hieu_qua,Trang diem,INT-66,"Neu co tu khoa trang diem, cushion, tone, tint, son, nen thi gan Trang diem"
Trang điểm khó tẩy,Trung binh,Trang điểm khó tẩy trang sau dùng,↳ khó tẩy,My pham,Khó tẩy quá!,sau_mua_hang,chat_luong_loi,trang_diem_tay_trang_loi,Trang diem,INT-67,"Neu co tu khoa trang diem, cushion, tone, tint, son, nen thi gan Trang diem"
Trang điểm gây dị ứng,Cao,Trang điểm gây dị ứng sau khi dùng,↳ dị ứng,My pham,Dị ứng!,sau_mua_hang,chat_luong_loi,trang_diem_gay_ra_phan_ung,Trang diem,INT-68,"Neu co tu khoa trang diem, cushion, tone, tint, son, nen thi gan Trang diem"
Giá trang điểm,Cao,Hỏi giá sản phẩm trang điểm,↳ giá,My pham,Bao nhiêu tiền?,truoc_mua_hang,gia_so_sanh,trang_diem_gia,Trang diem,INT-69,"Neu co tu khoa trang diem, cushion, tone, tint, son, nen thi gan Trang diem"
Loại dầu gội,Cao,Hỏi loại dầu gội nên mua,↳ dầu gội,My pham,Loại nào tốt?,truoc_mua_hang,thiet_bi_tu_van,cham_soc_toc_san_pham_loai,Cham soc toc,INT-70,"Neu co tu khoa dau goi, cham soc toc, toc kho/xo roi thi gan Cham soc toc"
Chăm sóc tóc thành phần,Cao,Kiểm tra thành phần dầu gội / chăm sóc tóc,↳ silicone,My pham,Có silicone không?,truoc_mua_hang,di_ung_an_toan,cham_soc_toc_thanh_phan,Cham soc toc,INT-71,"Neu co tu khoa dau goi, cham soc toc, toc kho/xo roi thi gan Cham soc toc"
Chăm sóc tóc không hiệu quả,Trung binh,Sản phẩm chăm sóc tóc không hiệu quả,↳ tóc không mềm,My pham,Tóc vẫn khô!,sau_mua_hang,chat_luong_loi,cham_soc_toc_khong_hieu_qua,Cham soc toc,INT-72,"Neu co tu khoa dau goi, cham soc toc, toc kho/xo roi thi gan Cham soc toc"
Giá chăm sóc tóc,Cao,Hỏi giá sản phẩm chăm sóc tóc,↳ giá,My pham,Bao nhiêu?,truoc_mua_hang,gia_so_sanh,cham_soc_toc_gia,Cham soc toc,INT-73,"Neu co tu khoa dau goi, cham soc toc, toc kho/xo roi thi gan Cham soc toc"
Khiếu nại thái độ shipper,Cao,Khiếu nại thái độ giao hàng / cách giao của shipper,↳ shipper | ↳ thái độ | ↳ mã đơn,My pham,Shipper nói chuyện kém!,sau_mua_hang,khieu_nai_dich_vu,khieu_nai_shipper,Cham soc da,INT-74,Neu co shipper giao hang thai do xuc pham hoac thu tuc thanh toan bat hop ly thi gan intent nay
Khiếu nại nhân viên cửa hàng,Cao,Khiếu nại thái độ hoặc thao tác sai của NV tại cửa hàng,↳ nhân viên | ↳ cửa hàng | ↳ quà tặng,My pham,NV chặn quà tặng của khách!,sau_mua_hang,khieu_nai_dich_vu,khieu_nai_nhan_vien_cua_hang,Cham soc da,INT-75,Neu co nhan vien cua hang thai do thieu qua KM hoac lam sai don thi gan intent nay
Khiếu nại CSKH hỗ trợ,Cao,Chat / hotline CSKH không vào hoặc phản hồi chậm,↳ chat | ↳ CSKH | ↳ hỗ trợ,My pham,Chat với CSKH không được!,sau_mua_hang,khieu_nai_dich_vu,khieu_nai_support,Cham soc da,INT-76,Neu co loi he thong danh gia don hoac CSKH khong lien lac duoc thi gan intent nay
Thiếu quà tặng / sai khuyến mãi trong đơn,Cao,Thiếu hàng tặng hoặc KM không đúng như quảng cáo trong đơn,↳ quà tặng | ↳ KM | ↳ thiếu hàng,My pham,Order 2 sản phẩm chỉ nhận 1 quà tặng!,sau_mua_hang,van_de_giao_hang,thieu_qua_tang_khuyen_mai,Cham soc da,INT-77,Neu khach noi thieu qua tang combo hoac nhan sai so luong qua thi gan intent nay; KHONG dung INT-100/INT-105 nua
Yêu cầu giao hàng sớm,Cao,Yêu cầu gửi đơn / giao hàng sớm hơn lịch,↳ giao sớm | ↳ gửi đơn gấp,My pham,Shop gửi đơn sớm giúp mình!,sau_mua_hang,trang_thai_van_chuyen,yeu_cau_giao_nhanh,Cham soc da,INT-78,Neu khach yeu cau ship som hoac gap ma khong phan nan chat luong thi gan intent nay
Giá web và giá cửa hàng,Cao,So sánh hoặc hỏi giá online có bằng giá tại chi nhánh không,↳ giá web | ↳ cửa hàng | ↳ combo,My pham,Giá web có bằng cửa hàng không?,truoc_mua_hang,gia_so_sanh,gia_online_va_offline,Cham soc da,INT-79,Neu hoi gia sale combo tai cua hang vs web ma khong chi dien thoai thi gan Cham soc da hoac Trang diem tuy san pham
Yêu cầu hủy đơn hàng,Cao,Muốn hủy đơn trước khi giao hoặc sau khi đặt,↳ hủy đơn | ↳ cancel,My pham,Em cần hỗ trợ hủy đơn!,sau_mua_hang,thay_doi_don_hang,yeu_cau_huy_don,Cham soc da,INT-80,Neu co tu huy don order cancel ma chua noi doi dia chi thi gan intent nay; KHONG dung INT-113 nua
Lỗi hệ thống đánh giá đơn,Cao,Lỗi khi đánh giá đơn hoặc thao tác sau mua trên web / app,↳ đánh giá | ↳ lỗi hệ thống,My pham,Đánh giá đơn báo lỗi!,sau_mua_hang,khieu_nai_dich_vu,loi_he_thong_sau_mua,Cham soc da,INT-81,Neu khach khong danh gia duoc don hoac bao loi tren app web Hasaki thi gan intent nay
Đổi địa chỉ giao hàng,Cao,Muốn đổi địa chỉ giao hàng khi đơn chưa ship,↳ đổi địa chỉ | ↳ đơn hàng,My pham,Đổi địa chỉ giao được không?,sau_mua_hang,thay_doi_don_hang,doi_dia_chi_giao,Cham soc da,INT-82,Neu khach hoi doi dia chi nhan hang truoc khi ship thi gan intent nay
Hỏi vị trí đơn mỹ phẩm (tracking),Cao,"Hỏi đơn đang ở đâu, bao giờ tới (tracking trung tính)",↳ mã đơn | ↳ tracking,My pham,Đơn của mình ở đâu rồi?,sau_mua_hang,trang_thai_van_chuyen,hoi_vi_tri_don_hang,Cham soc da,INT-83,Khi co ma don hoac hoi tien do giao hang trung tinh chua khieu nai
